,noun,tag,t_count
1450,비례대표,CV_POSITION,4287
1292,마루타,CV_POSITION,4287
1312,장인,CV_POSITION,4287
1311,종특,CV_POSITION,4287
1310,노예사슬자,CV_POSITION,4287
1309,한국녀,CV_POSITION,4287
1308,가해자,CV_POSITION,4287
1307,장애자,CV_POSITION,4287
1306,메이드인차이,CV_POSITION,4287
1305,정신이상자,CV_POSITION,4287
1304,청각장애인,CV_POSITION,4287
1303,스토커,CV_POSITION,4287
1302,여부장,CV_POSITION,4287
1301,상사,CV_POSITION,4287
1300,유치원생,CV_POSITION,4287
1299,위선자,CV_POSITION,4287
1298,귀족,CV_POSITION,4287
1297,뚱뚱녀,CV_POSITION,4287
1296,사기꾼,CV_POSITION,4287
1295,저능아,CV_POSITION,4287
1294,새내기,CV_POSITION,4287
1313,변태성욕자,CV_POSITION,4287
1314,스폰서,CV_POSITION,4287
1315,성소수자,CV_POSITION,4287
1326,시의원,CV_POSITION,4287
1334,대표,CV_POSITION,4287
1333,독거노인,CV_POSITION,4287
1332,초졸,CV_POSITION,4287
1331,정규직,CV_POSITION,4287
1330,지체장애인,CV_POSITION,4287
1329,프리덤,CV_POSITION,4287
1328,도우미,CV_POSITION,4287
1327,일반인,CV_POSITION,4287
1325,좌좀,CV_POSITION,4287
1316,장님,CV_POSITION,4287
1324,임산부,CV_POSITION,4287
1323,승자,CV_POSITION,4287
1322,백수,CV_POSITION,4287
1321,헬재팬,CV_POSITION,4287
1320,탈북자,CV_POSITION,4287
1319,종업원,CV_POSITION,4287
1318,이혼녀,CV_POSITION,4287
1317,신입생,CV_POSITION,4287
1293,군필자,CV_POSITION,4287
1291,미필 장애인,CV_POSITION,4287
1336,정신질환자,CV_POSITION,4287
1290,병사,CV_POSITION,4287
1267,용병,CV_POSITION,4287
1266,공대생,CV_POSITION,4287
1265,골빈애,CV_POSITION,4287
1264,노동자,CV_POSITION,4287
1263,골드 미스,CV_POSITION,4287
1262,틀니딱딱,CV_POSITION,4287
1261,경력,CV_POSITION,4287
1260,동대표,CV_POSITION,4287
1259,위원,CV_POSITION,4287
1258,사원,CV_POSITION,4287
1257,보호자,CV_POSITION,4287
1256,범인,CV_POSITION,4287
1255,대구인,CV_POSITION,4287
1254,우두머리,CV_POSITION,4287
1253,여주인공,CV_POSITION,4287
1252,경상도인,CV_POSITION,4287
1251,국회의원,CV_POSITION,4287
1250,고문기술자,CV_POSITION,4287
1249,이사,CV_POSITION,4287
1268,사회부적응자,CV_POSITION,4287
1269,공주,CV_POSITION,4287
1270,기초생활수급자,CV_POSITION,4287
1281,교포,CV_POSITION,4287
1289,호갱,CV_POSITION,4287
1288,미필자,CV_POSITION,4287
1287,면제자,CV_POSITION,4287
1286,전라도인,CV_POSITION,4287
1285,여자팬,CV_POSITION,4287
1284,국가대표,CV_POSITION,4287
1283,건물주,CV_POSITION,4287
1282,신도,CV_POSITION,4287
1280,교주,CV_POSITION,4287
1271,과장,CV_POSITION,4287
1279,교장,CV_POSITION,4287
1278,교육종사자,CV_POSITION,4287
1277,트로트팬,CV_POSITION,4287
1276,교생,CV_POSITION,4287
1275,참전용사,CV_POSITION,4287
1274,유공자,CV_POSITION,4287
1273,관광객,CV_POSITION,4287
1272,추종자,CV_POSITION,4287
1335,땅딸보,CV_POSITION,4287
1337,정신지체장애인,CV_POSITION,4287
1247,주민,CV_POSITION,4287
1382,수령,CV_POSITION,4287
1402,임산부석,CV_POSITION,4287
1401,운동,CV_POSITION,4287
1400,면접관,CV_POSITION,4287
1399,성 소수자,CV_POSITION,4287
1398,국뽕러,CV_POSITION,4287
1397,나이트,CV_POSITION,4287
1396,지식인,CV_POSITION,4287
1395,에이스,CV_POSITION,4287
1394,현지인,CV_POSITION,4287
1393,쿵쾅이,CV_POSITION,4287
1392,보추,CV_POSITION,4287
1391,사서,CV_POSITION,4287
1390,새터민,CV_POSITION,4287
1389,단골,CV_POSITION,4287
1388,빠순이,CV_POSITION,4287
1387,8번 스시,CV_POSITION,4287
1386,희망고문,CV_POSITION,4287
1385,지손,CV_POSITION,4287
1384,대깨직원,CV_POSITION,4287
1403,가수팬,CV_POSITION,4287
1404,음주 전과자,CV_POSITION,4287
1405,부수,CV_POSITION,4287
1416,고용주,CV_POSITION,4287
1424,꼴찌,CV_POSITION,4287
1423,인사담당자,CV_POSITION,4287
1422,티어,CV_POSITION,4287
1421,서폿,CV_POSITION,4287
1420,쌤,CV_POSITION,4287
1419,살인 청부업자,CV_POSITION,4287
1418,돼페미,CV_POSITION,4287
1417,공장장,CV_POSITION,4287
1415,강력범죄자,CV_POSITION,4287
1406,여자 동성애자,CV_POSITION,4287
1414,남직원,CV_POSITION,4287
1413,전과자,CV_POSITION,4287
1412,남자사장,CV_POSITION,4287
1411,남자감독,CV_POSITION,4287
1410,시청자,CV_POSITION,4287
1409,여자 게스트,CV_POSITION,4287
1408,도태녀,CV_POSITION,4287
1407,남자 팬,CV_POSITION,4287
1383,의료인,CV_POSITION,4287
1381,깨시민,CV_POSITION,4287
1338,홍일점,CV_POSITION,4287
1380,백신부스터,CV_POSITION,4287
1357,장애우,CV_POSITION,4287
1356,망상종자,CV_POSITION,4287
1355,몽키,CV_POSITION,4287
1354,미스김,CV_POSITION,4287
1353,국가공인장애인,CV_POSITION,4287
1352,당원,CV_POSITION,4287
1351,노너존,CV_POSITION,4287
1350,시녀,CV_POSITION,4287
1349,팀장,CV_POSITION,4287
1348,소비자,CV_POSITION,4287
1347,노가다꾼,CV_POSITION,4287
1346,수석,CV_POSITION,4287
1345,색희,CV_POSITION,4287
1344,노약자,CV_POSITION,4287
1343,성판매자,CV_POSITION,4287
1342,피해망상자,CV_POSITION,4287
1341,정병,CV_POSITION,4287
